provider_id,country_code,provider_name,city_name,account_management_segment,gmv_eur,orders_n,provider_cm_l2_pct_gmv,country_cm_l2_pct_gmv,cm_l2_pp_above_country
172959,ro,Peri Peri,Cluj-Napoca,Missing AM Segment Trait,60634.04296875,2302.0,2.299430766085793,-0.9512177725905627,3.250648538676356
13599,ro,Dristor Doner Tineretului,Bucharest,Platinum (AM Segment),49252.15185546875,2121.0,3.91931444587501,-0.9512177725905627,4.870532218465573
179206,lv,Kebabology & Co.,Riga,Missing AM Segment Trait,40879.239990234375,1805.0,15.755150726881011,8.156274717925752,7.5988760089552585
19847,cy,H Sterna,Limassol,Platinum (AM Segment),34913.920166015625,1272.0,-0.6262528545984437,-0.8821742371572978,0.2559213825588541
170135,ro,Sushi Go,Cluj-Napoca,Missing AM Segment Trait,30600.6220703125,767.0,3.702698127099706,-0.9512177725905627,4.6539158996902685
193112,sk,The L.A.B. Burgers,Kosice,Missing AM Segment Trait,29605.2099609375,985.0,5.627399434650026,2.462739688031615,3.164659746618411
177533,lt,Sushi House (Klaipėdos str.),Panevezys,Missing AM Segment Trait,28512.959594726562,650.0,5.173023182624968,4.9971170150676265,0.17590616755734167
131352,ro,Umami House,Cluj-Napoca,Missing AM Segment Trait,25837.82568359375,636.0,6.530303035099094,-0.9512177725905627,7.481520807689657
13602,ro,Dristor Doner Apaca,Bucharest,Platinum (AM Segment),25616.220458984375,1100.0,2.7822444631825505,-0.9512177725905627,3.7334622357731133
175140,ro,Tbiliso(Georgian cuisine),Bucharest,Missing AM Segment Trait,25524.452880859375,473.0,16.58992149254393,-0.9512177725905627,17.541139265134493
171721,lv,Samurai sushi,Riga,Missing AM Segment Trait,25103.010131835938,594.0,15.574442342088124,8.156274717925752,7.418167624162372
113053,ro,Piccolo Mondo,Bucharest,Missing AM Segment Trait,24717.46435546875,527.0,18.48878890903914,-0.9512177725905627,19.440006681629704
186306,lt,Lukandos Pizza (A. Šapokos str.),Kaunas,Missing AM Segment Trait,24366.509887695312,693.0,8.728054612010817,4.9971170150676265,3.730937596943191
127874,ro,K Chicken Korean,Bucharest,Missing AM Segment Trait,23472.325927734375,802.0,4.134447634389814,-0.9512177725905627,5.085665406980377
178927,ro,La Istanbul Kebap,Bucharest,Missing AM Segment Trait,23415.453979492188,1132.0,-0.2499590896109001,-0.9512177725905627,0.7012586829796627
120647,ro,The Alien,Bucharest,Missing AM Segment Trait,22501.536743164062,596.0,4.134243033254418,-0.9512177725905627,5.085460805844981
138242,ro,The Burgers by Paul Vrabie (11 iunie),Bucharest,Missing AM Segment Trait,22089.775512695312,743.0,15.538360195310284,-0.9512177725905627,16.489577967900846
183513,mt,Festacci,Valletta,Missing AM Segment Trait,22032.170043945312,454.0,8.799864374430463,8.63787374378787,0.16199063064259356
138719,lt,Papa Frita Poutinerie (Gynėjų str.),Vilnius,Missing AM Segment Trait,21780.730102539062,761.0,17.07384307465956,4.9971170150676265,12.076726059591934
146634,mt,Magura Zila KEBAB & Restaurant,Valletta,Missing AM Segment Trait,20012.729736328125,856.0,11.05072762616997,8.63787374378787,2.4128538823821
185885,lv,Ēlandfood,Riga,Silver (AM Segment),19986.009887695312,504.0,14.439121166134566,8.156274717925752,6.282846448208813
167776,ro,Beijing Garden,Bucharest,Missing AM Segment Trait,19763.664916992188,496.0,3.5188815195733065,-0.9512177725905627,4.470099292163869
9166,lv,Krodziņš Istaba,Jelgava,Silver (AM Segment),19757.710083007812,714.0,15.080873988936318,8.156274717925752,6.924599271010566
179836,lv,Riga Fried Chicken,Riga,Missing AM Segment Trait,19557.9599609375,729.0,17.615575366782156,8.156274717925752,9.459300648856404
185242,ro,Zoe Food,Timisoara,Missing AM Segment Trait,19554.204650878906,908.0,-0.45965900500419365,-0.9512177725905627,0.49155876758636907
169272,ro,aMicii,Cluj-Napoca,Missing AM Segment Trait,19182.3974609375,695.0,3.2033558319312063,-0.9512177725905627,4.154573604521769
125404,ro,Restaurant Capitale,Bucharest,Missing AM Segment Trait,18844.910522460938,589.0,10.339879209216663,-0.9512177725905627,11.291096981807225
116529,ro,Saporia Pizza Bar,Bucharest,Missing AM Segment Trait,18291.536987304688,511.0,10.353763207937392,-0.9512177725905627,11.304980980527954
46653,ro,Li Wu Stefan cel Mare,Bucharest,Silver (AM Segment),18168.332885742188,698.0,2.51728179761802,-0.9512177725905627,3.468499570208583
124133,ro,HARLEQUIN EXPRESS,Constanta,Missing AM Segment Trait,18156.22998046875,557.0,2.301605797946367,-0.9512177725905627,3.25282357053693
8264,ua,Duck Please Володимирська,Kyiv,Platinum (AM Segment),18152.460327148438,617.0,14.101207320226822,2.3596736654725854,11.741533654754235
1254,mt,Pinoy Street Food,Valletta,Silver (AM Segment),17673.099975585938,550.0,14.723267068792584,8.63787374378787,6.0853933250047145
188499,mt,Maiz Malta,Valletta,Missing AM Segment Trait,17648.499877929688,615.0,16.792189707773485,8.63787374378787,8.154315963985615
162288,lv,Dudo Pizza Daugavpils,Daugavpils,Missing AM Segment Trait,17614.410034179688,482.0,15.298617668707152,8.156274717925752,7.1423429507814
176079,mt,MALABAR CAFE,Valletta,Missing AM Segment Trait,17470.3994140625,802.0,13.02235597485792,8.63787374378787,4.38448223107005
128695,ro,Restaurant Thalia,Bucharest,Missing AM Segment Trait,17450.554321289062,637.0,12.021092366440136,-0.9512177725905627,12.972310139030698
170689,sk,Au Co Bistro - Špitálska,Bratislava,Missing AM Segment Trait,17404.570068359375,649.0,8.723576384777598,2.462739688031615,6.260836696745983
170769,lv,Bus Bruno,Liepaja,Missing AM Segment Trait,17329.109985351562,571.0,8.222504456517276,8.156274717925752,0.06622973859152381
124205,ro,Matinee Floreasca,Bucharest,Missing AM Segment Trait,17323.038940429688,531.0,20.115732761817522,-0.9512177725905627,21.066950534408086
140545,mt,Ertan Turkish Food,Valletta,Missing AM Segment Trait,17264.119995117188,830.0,18.89520987020991,8.63787374378787,10.257336126422041
